Milliseconds,PackVoltx100,Ampsx100,RPM
114800,1220,437,5767
114900,1220,427,5740
115000,1220,427,5747
115100,1220,418,5847
115200,1220,427,5973
115300,1220,427,5767
115400,1220,427,5740
115500,1220,427,5707
115600,1220,427,5813
115700,1220,418,5740
115800,1220,437,5813
115900,1220,427,5959
116000,1220,427,5773
116100,1220,437,5767
116200,1220,427,5827
116300,1220,427,5773
116400,1220,427,5753
116500,1220,427,5753
116600,1220,427,5720
116700,1220,427,5747
116800,1220,427,5896
116900,1220,427,5727
117000,1220,437,5694
117100,1220,427,5760
117200,1220,427,5834
117300,1220,437,5727
117400,1220,437,5740
117500,1220,427,5740
117600,1220,427,5747
117700,1220,427,6031
117800,1220,427,5727
117900,1220,427,5740
118000,1220,437,5800
118100,1220,418,5854
118200,1220,427,5760
118300,1220,427,5720
118400,1220,427,5882
118500,1220,427,5727
118600,1220,427,5827
118700,1220,418,5760
118800,1220,427,5747
118900,1220,427,5760
119000,1220,427,5727
119100,1220,418,5767
119200,1220,427,5727
119300,1220,427,5995
119400,1220,427,5720
119500,1220,427,5740
119600,1220,437,5807
119700,1218,427,5740
119800,1220,427,5959
119900,1220,427,5807
120000,1220,427,5787
120100,1218,437,5780
120200,1220,418,5675
120300,1220,427,6067
120400,1220,427,5875
120500,1220,427,5753
120600,1220,427,5988
120700,1218,427,5760
120800,1220,427,6024
120900,1218,427,5668
121000,1218,427,5727
121100,1218,427,5747
121200,1218,427,5988
121300,1218,427,5747
121400,1218,437,5740
121500,1220,427,6024
121600,1218,427,5727
121700,1218,427,5733
121800,1218,418,5753
121900,1218,427,5780
122000,1218,427,5800
122100,1218,427,5780
122200,1218,427,5727
122300,1218,427,5773
122400,1218,427,6016
122500,1218,437,5714
122600,1218,427,5780
122700,1218,427,5882
122800,1218,418,5740
122900,1218,427,6053
123000,1218,427,5740
123100,1218,437,6045
123200,1218,427,5780
123300,1218,427,5980
123400,1218,418,5773
123500,1218,427,5760
123600,1218,427,5740
123700,1218,427,5753
123800,1218,427,5793
123900,1218,427,5733
124000,1218,427,5820
124100,1218,427,5767
124200,1218,427,5938
124300,1218,427,5760
124400,1218,427,5861
124500,1218,427,5740
124600,1218,418,5727
124700,1218,418,5767
124800,1218,427,6067
124900,1218,427,6060
125000,1218,427,5760
125100,1218,427,5714
125200,1218,427,5740
125300,1218,427,6002
125400,1218,427,5868
125500,1218,427,5834
125600,1218,427,5847
125700,1218,446,5924
125800,1216,455,5800
125900,1211,567,6226
126000,1211,586,6596
126100,1211,576,6459
126200,1211,576,6345
